CIUDAD;D_NS
TIERRA AMARILLA;1279
TILTIL;2018
TIRUA;2758
TOCOPILLA;531
TOME;2528
TORTEL;4377
TRAIGUEN;2686
TREGUACO;2480
VALDIVIA;2904
VALLENAR;1403
VALPARAISO;2014
VICHUQUEN;2283
VICTORIA;2672
VICUNA;1652
VILCUN;2750
VILLA ALEGRE;2341
VLLA ALEMANA;1995
VILLA ALHUE;2172
VILLA O'HIGGINS;4483
VILLA TEHUELCHES;5056
VILLARRICA;2816
VINA DEL MAR;2005
VISVIRI;271
YERBAS BUENAS;2357
YUMBEL;2538
YUNGAY;2526
ZAPALLAR;1933
CHUQUICAMATA;586
EL SALVADOR;1183
LLO-LLEO;2087
STO DOMINGO;2091
