ORDEN;Horas;Importe
OS-5625;3;339595
OS-5626;3;338992
OS-5627;3;942674
OS-5628;3;525409
OS-5629;3;448411
OS-5630;3;398750
OS-5631;3;595948
OS-5632;3;525409
OS-5633;3;358244
OS-5634;3;386005
OS-5635;3;195444
OS-5636;3;525409
OS-5637;3;397717
OS-5638;3;380890
OS-5639;3;380293
OS-5640;3;229492
OS-5641;3;525409
OS-5642;3;402335
OS-5643;3;250741
OS-5644;3;274941
OS-5645;3;287246
OS-5646;3;258378
OS-5647;3;379490
OS-5648;3;525409
OS-5649;3;525409
OS-5650;3;404964
OS-5651;3;446285
OS-5652;3;404964
OS-5653;3;378008
OS-5654;3;360000
OS-5655;3;525409
OS-5656;3;525409
OS-5657;3;240497
OS-5658;3;196350
OS-5659;3;435867
OS-5660;3;410798
OS-5661;3;445037
OS-5662;3;525409
OS-5663;3;392890
OS-5664;3;319041
OS-5665;3;443113
OS-5666;3;335386
OS-5667;3;525409
OS-5668;3;734247
OS-5669;3;376084
OS-5670;3;393870
OS-5671;3;402234
OS-5672;3;525409
OS-5673;3;1737747
OS-5674;3;376084
OS-5675;3;393870
OS-5676;3;381039
OS-5677;3;443113
OS-5678;3;389071
OS-5679;3;461298
OS-5680;3;196350
OS-5681;3;462820
OS-5682;3;446186
OS-5683;3;256490
OS-5684;3;443113
OS-5685;3;437638
OS-5686;3;196350
OS-5687;3;517784
OS-5688;3;196350
OS-5689;3;437638
OS-5690;3;437638
OS-5691;3;462820
OS-5692;3;335386
OS-5693;3;393870
OS-5694;3;376084
OS-5695;3;520072
OS-5696;3;376084
OS-5697;3;462820
OS-5698;3;525409
OS-5699;3;338874
OS-5700;3;395260
OS-5701;3;468157
OS-5702;3;333240
OS-5703;3;405396
OS-5704;3;384509
OS-5705;3;525409
OS-5706;3;196350
OS-5707;3;445505
OS-5708;3;525409
OS-5709;3;356548
OS-5710;3;269990
OS-5711;3;408961
OS-5712;3;379940
OS-5713;3;400579
OS-5714;3;525409
OS-5715;3;382005
OS-5716;3;680047
OS-5717;3;443559
OS-5718;3;595856
OS-5719;3;240955
OS-5720;3;462820
OS-5721;3;462820
OS-5722;3;403919
OS-5723;3;525409
OS-5724;3;196350
OS-5725;3;439864
OS-5726;3;525409
OS-5727;3;382005
OS-5728;3;416927
OS-5729;3;382005
OS-5730;3;497074
OS-5731;3;341307
OS-5732;3;449035
OS-5733;3;440323
OS-5734;3;525215
OS-5735;3;379578
OS-5736;3;440323
OS-5737;3;445798
OS-5738;3;525409
OS-5739;3;338071
OS-5740;3;440323
OS-5741;3;583540
OS-5742;3;396554
OS-5743;3;665001
OS-5744;3;396399
OS-5745;3;525409
OS-5746;3;462820
OS-5747;3;525409
OS-5748;3;458023
OS-5749;3;435579
OS-5750;3;525409
OS-5751;3;525409
OS-5752;3;424603
OS-5753;3;196350
OS-5754;3;196350
OS-5755;3;363978
OS-5756;3;404676
OS-5757;3;398576
OS-5758;3;337022
OS-5759;3;749198
OS-5760;3;396839
OS-5761;3;749198
OS-5762;3;529857
OS-5763;3;1050816
OS-5764;3;440607
OS-5765;3;285560
OS-5766;3;207910
OS-5767;3;452968
OS-5768;3;196350
OS-5769;3;665001
OS-5770;3;379053
OS-5771;3;240955
OS-5772;3;196350
OS-5773;3;379053
OS-5774;3;525409
OS-5775;3;525409
OS-5776;3;439274
OS-5777;3;157080
OS-5778;3;335438
OS-5779;3;439274
OS-5780;3;196350
OS-5781;3;493199
OS-5782;3;396294
OS-5783;3;525409
OS-5784;3;398576
OS-5785;3;462820
OS-5786;3;430337
OS-5787;3;196350
OS-5788;3;439274
OS-5789;3;377720
OS-5790;3;377720
OS-5791;3;362898
OS-5792;3;525409
OS-5793;3;240955
OS-5794;3;738659
OS-5795;3;669338
OS-5796;3;299989
OS-5797;3;299989
OS-5798;3;439274
OS-5799;3;525409
OS-5800;3;398657
OS-5801;3;299989
OS-5802;3;378769
OS-5803;3;355934
OS-5804;3;418842
OS-5805;3;322995
OS-5806;3;196350
OS-5807;3;357269
OS-5808;3;210525
OS-5809;3;390688
OS-5810;3;396554
OS-5811;3;525409
OS-5812;3;525409
OS-5813;3;525409
OS-5814;3;436021
OS-5815;3;404507
OS-5816;3;525409
OS-5817;3;439274
OS-5818;3;377720
OS-5819;3;196350
OS-5820;3;525409
OS-5821;3;196350
OS-5822;3;397869
OS-5823;3;462820
OS-5824;3;525409
OS-5825;3;439274
OS-5826;3;337022
OS-5827;3;370580
OS-5828;3;439274
OS-5829;3;439274
OS-5830;3;391940
OS-5831;3;525409
OS-5832;3;525409
OS-5833;3;861478
OS-5834;3;240955
OS-5835;3;439274
OS-5836;3;363144
OS-5837;3;417794
OS-5838;3;520072
OS-5839;3;337203
OS-5840;3;525409
OS-5841;3;468157
OS-5842;3;396049
OS-5843;3;560145
OS-5844;3;395506
OS-5845;3;605555
OS-5846;3;462820
OS-5847;3;439093
OS-5848;3;196350
OS-5849;3;383613
OS-5850;3;444749
OS-5851;3;417794
OS-5852;3;512202
OS-5853;3;479347
OS-5854;3;417794
OS-5855;3;377720
OS-5856;3;377720
OS-5857;3;537266
OS-5858;3;397973
OS-5859;3;484990
OS-5860;3;196350
OS-5861;3;269990
OS-5862;3;525409
OS-5863;3;525409
OS-5864;3;386211
OS-5865;3;393689
OS-5866;3;525409
OS-5867;3;525409
OS-5868;3;525409
OS-5869;3;437638
OS-5870;3;525409
OS-5871;3;393401
OS-5872;3;505060
OS-5873;3;525409
OS-5874;3;417208
OS-5875;3;525409
OS-5876;3;525409
OS-5877;3;196350
OS-5878;3;525409
OS-5879;3;525409
OS-5880;3;404395
OS-5881;3;404208
OS-5882;3;525409
OS-5883;3;525409
OS-5884;3;525409
OS-5885;3;525409
OS-5886;3;525409
OS-5887;3;525409
OS-5888;3;274997
OS-5889;3;525409
OS-5890;3;524428
OS-5891;3;525409
OS-5892;3;519863
OS-5893;3;417208
OS-5894;3;484823
OS-5895;3;520072
OS-5896;3;341005
OS-5897;3;377135
OS-5898;3;438689
OS-5899;3;532218
OS-5900;3;444749
OS-5901;3;377135
OS-5902;3;196350
OS-5903;3;377135
OS-5904;3;258965
OS-5905;3;377135
OS-5906;3;196350
OS-5907;3;196350
OS-5908;3;377135
OS-5909;3;395038
OS-5910;3;334501
OS-5911;3;525409
OS-5912;3;294632
OS-5913;3;532218
OS-5914;3;336437
OS-5915;3;532218
OS-5916;3;196350
OS-5917;3;271233
OS-5918;3;435112
OS-5919;3;525409
OS-5920;3;525409
OS-5921;3;525409
OS-5922;3;336437
OS-5923;3;377135
OS-5924;3;509933
OS-5925;3;394857
OS-5926;3;525409
OS-5927;3;377135
OS-5928;3;525409
OS-5929;3;565482
OS-5930;3;444282
OS-5931;3;525409
OS-5932;3;525409
OS-5933;3;417208
OS-5934;3;336437
OS-5935;3;411250
OS-5936;3;485017
OS-5937;3;379498
OS-5938;3;525409
OS-5939;3;518835
OS-5940;3;294991
OS-5941;3;505060
OS-5942;3;525409
OS-5943;3;196350
OS-5944;3;438689
OS-5945;3;525409
OS-5946;3;525409
OS-5947;3;196350
OS-5948;3;520072
OS-5949;3;443113
OS-5950;3;316901
OS-5951;3;905572
OS-5952;3;535568
OS-5953;3;342546
OS-5954;3;376084
OS-5955;3;377274
OS-5956;3;525409
OS-5957;3;435133
OS-5958;3;377274
OS-5959;3;196350
OS-5960;3;395060
OS-5961;3;525409
OS-5962;3;541972
OS-5963;3;438828
OS-5964;3;525409
OS-5965;3;440464
OS-5966;3;468157
OS-5967;3;525409
OS-5968;3;525409
OS-5969;3;379148
OS-5970;3;470221
OS-5971;3;356861
OS-5972;3;680047
OS-5973;3;665001
OS-5974;3;379148
OS-5975;3;525409
OS-5976;3;525409
OS-5977;3;665358
OS-5978;3;397248
OS-5979;3;269990
OS-5980;3;523887
OS-5981;3;296842
OS-5982;3;525409
OS-5983;3;357175
OS-5984;3;441016
OS-5985;3;337458
OS-5986;3;379462
OS-5987;3;485192
OS-5988;3;441392
OS-5989;3;365592
OS-5990;3;523887
OS-5991;3;684675
OS-5992;3;196350
OS-5993;3;269990
OS-5994;3;196350
OS-5995;3;394541
OS-5996;3;269990
OS-5997;3;478382
OS-5998;3;522182
OS-5999;3;269990
OS-6000;3;313726
OS-6001;3;497537
OS-6002;3;665002
OS-6003;3;522182
OS-6004;3;378052
OS-6005;3;299989
OS-6006;3;522182
OS-6007;3;522182
OS-6008;3;396823
OS-6009;3;196350
OS-6010;3;525409
OS-6011;3;660924
OS-6012;3;337354
OS-6013;3;378052
OS-6014;3;560693
OS-6015;3;439606
OS-6016;3;394974
OS-6017;3;664999
OS-6018;3;378566
OS-6019;3;532218
OS-6020;3;440120
OS-6021;3;447765
OS-6022;3;440120
OS-6023;3;525409
OS-6024;3;440120
OS-6025;3;525409
OS-6026;3;525409
OS-6027;3;394974
OS-6028;3;440120
OS-6029;3;377348
OS-6030;3;435181
OS-6031;3;439083
OS-6032;3;269990
OS-6033;3;364990
OS-6034;3;488525
OS-6035;3;525290
OS-6036;3;525409
OS-6037;3;685350
OS-6038;3;377348
OS-6039;3;525409
OS-6040;3;267767
OS-6041;3;196350
OS-6042;3;196350
OS-6043;3;608512
OS-6044;3;665003
OS-6045;3;299989
OS-6046;3;540410
OS-6047;3;525409
OS-6048;3;421710
OS-6049;3;525409
OS-6050;3;525409
OS-6051;3;386211
OS-6052;3;276264
OS-6053;3;374212
OS-6054;3;525409
OS-6055;3;382089
OS-6056;3;754535
OS-6057;3;525409
OS-6058;3;443643
OS-6059;3;468157
OS-6060;3;360293
OS-6061;3;469744
OS-6062;3;344989
OS-6063;3;373943
OS-6064;3;526996
OS-6065;3;526996
OS-6066;3;473044
OS-6067;3;482338
OS-6068;3;581778
OS-6069;3;383794
OS-6070;3;529053
OS-6071;3;340213
OS-6072;3;525409
OS-6073;3;374212
OS-6074;3;386444
OS-6075;3;397282
OS-6076;3;525409
OS-6077;3;386444
OS-6078;3;320586
OS-6079;3;196350
OS-6080;3;525409
OS-6081;3;386444
OS-6082;3;207060
OS-6083;3;277892
OS-6084;3;196350
OS-6085;3;525409
OS-6086;3;525409
OS-6087;3;525409
OS-6088;3;525409
OS-6089;3;397283
OS-6090;3;196350
OS-6091;3;361111
OS-6092;3;254990
OS-6093;3;525409
OS-6094;3;599389
OS-6095;3;360112
OS-6096;3;525409
OS-6097;3;525409
OS-6098;3;355865
OS-6099;3;525409
OS-6100;3;665001
OS-6101;3;336841
OS-6102;3;525215
OS-6103;3;260946
OS-6104;3;396920
OS-6105;3;467963
OS-6106;3;247261
OS-6107;3;215390
OS-6108;3;196350
OS-6109;3;397464
OS-6110;3;196350
OS-6111;3;320001
OS-6112;3;525409
OS-6113;3;380448
OS-6114;3;525409
OS-6115;3;343458
OS-6116;3;347165
OS-6117;3;341936
OS-6118;3;525409
OS-6119;3;525409
OS-6120;3;525409
OS-6121;3;397644
OS-6122;3;520072
OS-6123;3;196350
OS-6124;3;471624
OS-6125;3;520072
OS-6126;3;499810
OS-6127;3;434233
OS-6128;3;240955
OS-6129;3;520072
OS-6130;3;434634
OS-6131;3;384156
OS-6132;3;520072
OS-6133;3;393471
OS-6134;3;520072
OS-6135;3;495862
OS-6136;3;476264
OS-6137;3;299989
OS-6138;3;520072
OS-6139;3;386431
OS-6140;3;520072
OS-6141;3;343096
OS-6142;3;520072
OS-6143;3;557062
OS-6144;3;520072
OS-6145;3;364071
OS-6146;3;383794
OS-6147;3;364725
OS-6148;3;401082
OS-6149;3;424021
OS-6150;3;520072
OS-6151;3;196350
OS-6152;3;196350
OS-6153;3;360555
OS-6154;3;710410
OS-6155;3;520072
OS-6156;3;520072
OS-6157;3;387031
OS-6158;3;450549
OS-6159;3;439757
OS-6160;3;520072
OS-6161;3;449762
OS-6162;3;520072
OS-6163;3;269990
OS-6164;3;346333
OS-6165;3;520072
OS-6166;3;455073
OS-6167;3;196350
OS-6168;3;196350
OS-6169;3;404650
OS-6170;3;341460
OS-6171;3;520072
OS-6172;3;487700
OS-6173;3;520072
OS-6174;3;520072
OS-6175;3;525409
OS-6176;3;525409
OS-6177;3;376974
OS-6178;3;526881
OS-6179;3;421837
OS-6180;3;758798
OS-6181;3;329662
OS-6182;3;520072
OS-6183;3;196350
OS-6184;3;525409
OS-6185;3;346773
OS-6186;3;525409
OS-6187;3;383211
OS-6188;3;505060
OS-6189;3;525409
OS-6190;3;523887
OS-6191;3;269990
OS-6192;3;257977
OS-6193;3;523887
OS-6194;3.01;269991
OS-6195;3.01;299988
OS-6196;3.01;269991
OS-6197;3.01;299989
OS-6198;3.01;527796
OS-6199;3.01;239990
OS-6200;3.01;299991
OS-6201;3.01;254990
OS-6202;3.01;378242
OS-6203;3.01;269991
OS-6204;3.01;399002
OS-6205;3.01;242991
OS-6206;3.01;320147
OS-6207;3.01;249210
OS-6208;3.01;259196
OS-6209;3.02;242990
OS-6210;3.02;389990
OS-6211;3.02;595000
OS-6212;3.02;294990
OS-6213;3.02;299819
OS-6214;3.02;340001
OS-6215;3.03;289389
OS-6216;3.03;349304
OS-6217;3.03;260451
OS-6218;3.03;454955
OS-6219;3.03;625153
OS-6220;3.03;294990
OS-6221;3.04;344991
OS-6222;3.04;635348
OS-6223;3.04;242990
OS-6224;3.04;242991
OS-6225;3.04;229386
OS-6226;3.04;436690
OS-6227;3.04;300000
OS-6228;3.04;272059
OS-6229;3.04;502944
OS-6230;3.04;308676
OS-6231;3.04;242990
OS-6232;3.05;519980
OS-6233;3.05;254577
OS-6234;3.05;304590
OS-6235;3.05;285000
OS-6236;3.05;274308
OS-6237;3.05;302440
OS-6238;3.05;316940
OS-6239;3.06;394395
OS-6240;3.06;242991
OS-6241;3.06;264990
OS-6242;3.06;417340
OS-6243;3.06;306620
OS-6244;3.06;338698
OS-6245;3.06;269990
OS-6246;3.06;368989
OS-6247;3.06;272060
OS-6248;3.07;426620
OS-6249;3.07;395267
OS-6250;3.07;245980
OS-6251;3.07;289389
OS-6252;3.07;360232
OS-6253;3.07;484989
OS-6254;3.08;438870
OS-6255;3.08;346726
OS-6256;3.08;291899
OS-6257;3.08;269991
OS-6258;3.08;336010
OS-6259;3.08;454872
OS-6260;3.08;254992
OS-6261;3.08;259990
OS-6262;3.08;360541
OS-6263;3.08;272177
OS-6264;3.08;367071
OS-6265;3.08;525409
OS-6266;3.08;525409
OS-6267;3.08;525409
OS-6268;3.08;525409
OS-6269;3.08;525409
OS-6270;3.08;525409
OS-6271;3.08;525409
OS-6272;3.09;318870
OS-6273;3.09;394984
OS-6274;3.09;318870
OS-6275;3.09;324989
OS-6276;3.09;836690
OS-6277;3.09;594989
OS-6278;3.1;345970
OS-6279;3.1;268681
OS-6280;3.1;256002
OS-6281;3.1;269990
OS-6282;3.1;243122
OS-6283;3.1;269990
OS-6284;3.1;259990
OS-6285;3.1;233990
OS-6286;3.1;665001
OS-6287;3.1;665001
OS-6288;3.1;405001
OS-6289;3.1;307521
OS-6290;3.1;529277
OS-6291;3.1;283001
OS-6292;3.1;246057
OS-6293;3.1;276001
OS-6294;3.1;274534
OS-6295;3.1;389407
OS-6296;3.1;257975
OS-6297;3.11;364979
OS-6298;3.11;242991
OS-6299;3.11;306619
OS-6300;3.11;389990
OS-6301;3.11;294990
OS-6302;3.11;261027
OS-6303;3.11;285496
OS-6304;3.11;307774
OS-6305;3.11;240722
OS-6306;3.11;527302
OS-6307;3.12;282890
OS-6308;3.12;522999
OS-6309;3.12;269991
OS-6310;3.12;522999
OS-6311;3.12;269990
OS-6312;3.12;269966
OS-6313;3.12;269966
OS-6314;3.12;269966
OS-6315;3.12;242973
OS-6316;3.12;243403
OS-6317;3.12;242969
OS-6318;3.12;242969
OS-6319;3.12;242969
OS-6320;3.12;242969
OS-6321;3.12;274990
OS-6322;3.12;281999
OS-6323;3.13;364990
OS-6324;3.13;668964
OS-6325;3.13;254601
OS-6326;3.13;236790
OS-6327;3.13;251000
OS-6328;3.13;264827
OS-6329;3.14;364990
OS-6330;3.14;331491
OS-6331;3.14;389990
OS-6332;3.14;331491
OS-6333;3.14;374990
OS-6334;3.14;258591
OS-6335;3.14;350992
OS-6336;3.14;389990
OS-6337;3.14;350992
OS-6338;3.14;331491
OS-6339;3.14;389990
OS-6340;3.14;510990
OS-6341;3.14;389990
OS-6342;3.14;401369
OS-6343;3.14;497998
OS-6344;3.14;414788
OS-6345;3.14;365000
OS-6346;3.15;269990
OS-6347;3.15;269990
OS-6348;3.15;269990
OS-6349;3.15;269990
OS-6350;3.15;269990
OS-6351;3.15;242991
OS-6352;3.15;269990
OS-6353;3.15;229492
OS-6354;3.15;242991
OS-6355;3.15;242991
OS-6356;3.15;282100
OS-6357;3.15;269990
OS-6358;3.15;229492
OS-6359;3.15;282090
OS-6360;3.15;282090
OS-6361;3.15;269990
OS-6362;3.15;350989
OS-6363;3.15;239785
OS-6364;3.15;269990
OS-6365;3.15;222993
OS-6366;3.15;288560
OS-6367;3.15;302440
OS-6368;3.15;290340
OS-6369;3.15;282090
OS-6370;3.15;269990
OS-6371;3.15;253882
OS-6372;3.15;269990
OS-6373;3.15;639989
OS-6374;3.15;269990
OS-6375;3.15;242991
OS-6376;3.15;269990
OS-6377;3.15;202492
OS-6378;3.15;282090
OS-6379;3.15;360696
OS-6380;3.15;272059
OS-6381;3.15;405000
OS-6382;3.15;371756
OS-6383;3.15;1149990
OS-6384;3.15;378000
OS-6385;3.15;269991
OS-6386;3.15;269990
OS-6387;3.15;344437
OS-6388;3.15;242991
OS-6389;3.15;269990
OS-6390;3.15;269990
OS-6391;3.15;242991
OS-6392;3.15;402890
OS-6393;3.15;414990
OS-6394;3.15;269990
OS-6395;3.15;269990
OS-6396;3.15;259990
OS-6397;3.15;269991
OS-6398;3.15;269990
OS-6399;3.15;269990
OS-6400;3.15;282890
OS-6401;3.15;269990
OS-6402;3.15;269990
OS-6403;3.15;476225
OS-6404;3.16;256568
OS-6405;3.16;265491
OS-6406;3.16;282890
OS-6407;3.16;359990
OS-6408;3.16;286684
OS-6409;3.16;321229
OS-6410;3.16;314989
OS-6411;3.16;643196
OS-6412;3.16;373257
OS-6413;3.16;277100
OS-6414;3.17;282890
OS-6415;3.17;282890
OS-6416;3.17;282890
OS-6417;3.17;282890
OS-6418;3.17;282890
OS-6419;3.17;254602
OS-6420;3.17;443414
OS-6421;3.17;512990
OS-6422;3.17;275959
OS-6423;3.17;510916
OS-6424;3.17;600000
OS-6425;3.17;361241
OS-6426;3.17;238495
OS-6427;3.17;719680
OS-6428;3.18;269990
OS-6429;3.18;282890
OS-6430;3.18;269990
OS-6431;3.18;282890
OS-6432;3.18;282890
OS-6433;3.18;346491
OS-6434;3.18;256806
OS-6435;3.18;380000
OS-6436;3.19;385339
OS-6437;3.19;277890
OS-6438;3.19;471956
OS-6439;3.19;391862
OS-6440;3.19;379990
OS-6441;3.19;265878
OS-6442;3.19;423458
OS-6443;3.2;207060
OS-6444;3.2;507039
OS-6445;3.2;325822
OS-6446;3.2;242990
OS-6447;3.2;406251
OS-6448;3.2;525734
OS-6449;3.2;527796
OS-6450;3.2;452002
OS-6451;3.2;401983
OS-6452;3.2;379746
OS-6453;3.2;406358
OS-6454;3.2;499585
OS-6455;3.2;665001
OS-6456;3.2;389990
OS-6457;3.2;499585
OS-6458;3.2;434098
OS-6459;3.2;577010
OS-6460;3.2;435733
OS-6461;3.2;376240
OS-6462;3.2;372753
OS-6463;3.2;8494733
OS-6464;3.2;388855
OS-6465;3.2;353416
OS-6466;3.2;541924
OS-6467;3.2;435841
OS-6468;3.2;475910
OS-6469;3.2;281600
OS-6470;3.2;245815
OS-6471;3.2;619939
OS-6472;3.2;260451
OS-6473;3.2;299989
OS-6474;3.2;452545
OS-6475;3.21;389990
OS-6476;3.21;340101
OS-6477;3.21;467073
OS-6478;3.21;273395
OS-6479;3.21;285496
OS-6480;3.21;285496
OS-6481;3.21;269990
OS-6482;3.21;273397
OS-6483;3.21;347560
OS-6484;3.21;287990
OS-6485;3.21;273397
OS-6486;3.21;285496
OS-6487;3.21;285496
OS-6488;3.21;261297
OS-6489;3.21;273397
OS-6490;3.21;205045
OS-6491;3.21;301914
OS-6492;3.21;273397
OS-6493;3.21;285501
OS-6494;3.21;285501
OS-6495;3.21;275509
OS-6496;3.21;298986
OS-6497;3.21;285496
OS-6498;3.21;285496
OS-6499;3.21;285496
OS-6500;3.21;302796
OS-6501;3.21;287997
OS-6502;3.22;332090
OS-6503;3.22;272090
OS-6504;3.22;377314
OS-6505;3.22;360008
OS-6506;3.23;385340
OS-6507;3.23;400001
OS-6508;3.23;754180
OS-6509;3.23;496790
OS-6510;3.23;263016
OS-6511;3.23;260449
OS-6512;3.23;260449
OS-6513;3.23;338767
OS-6514;3.23;289000
OS-6515;3.23;339990
OS-6516;3.23;319127
OS-6517;3.24;294990
OS-6518;3.24;389989
OS-6519;3.24;364990
OS-6520;3.24;364990
OS-6521;3.24;294990
OS-6522;3.24;331492
OS-6523;3.24;282100
OS-6524;3.24;269990
OS-6525;3.24;348720
OS-6526;3.24;302880
OS-6527;3.24;294990
OS-6528;3.24;275173
OS-6529;3.24;260451
OS-6530;3.24;300000
OS-6531;3.24;283606
OS-6532;3.24;261622
OS-6533;3.24;289389
OS-6534;3.24;289389
OS-6535;3.24;271340
OS-6536;3.24;289389
OS-6537;3.24;271345
OS-6538;3.24;270793
OS-6539;3.24;256270
OS-6540;3.24;271345
OS-6541;3.25;265489
OS-6542;3.25;687374
OS-6543;3.25;260984
OS-6544;3.25;254602
OS-6545;3.25;272060
OS-6546;3.25;272060
OS-6547;3.25;272120
OS-6548;3.25;272060
OS-6549;3.25;272060
OS-6550;3.25;299742
OS-6551;3.25;272060
OS-6552;3.25;272060
OS-6553;3.25;272060
OS-6554;3.25;272060
OS-6555;3.26;307890
OS-6556;3.26;327761
OS-6557;3.26;286441
OS-6558;3.26;299989
OS-6559;3.26;265284
OS-6560;3.26;272196
OS-6561;3.26;576357
OS-6562;3.26;320001
OS-6563;3.26;301999
OS-6564;3.27;229490
OS-6565;3.27;242990
OS-6566;3.27;286101
OS-6567;3.27;269990
OS-6568;3.27;269990
OS-6569;3.27;282751
OS-6570;3.27;366139
OS-6571;3.27;404999
OS-6572;3.27;462787
OS-6573;3.27;269990
OS-6574;3.28;361240
OS-6575;3.28;369990
OS-6576;3.28;396338
OS-6577;3.29;402890
OS-6578;3.29;344991
OS-6579;3.29;303062
OS-6580;3.29;369990
OS-6581;3.29;599812
OS-6582;3.29;271490
OS-6583;3.29;244343
OS-6584;3.29;233452
OS-6585;3.29;260449
OS-6586;3.3;1617183
OS-6587;3.3;258893
OS-6588;3.3;259990
OS-6589;3.3;417554
OS-6590;3.3;258010
OS-6591;3.3;346721
OS-6592;3.3;259990
OS-6593;3.3;293464
OS-6594;3.3;515747
OS-6595;3.3;525409
OS-6596;3.3;376743
OS-6597;3.3;1344644
OS-6598;3.3;220991
OS-6599;3.3;397807
OS-6600;3.3;272157
OS-6601;3.3;315776
OS-6602;3.3;453200
OS-6603;3.3;392890
OS-6604;3.3;451455
OS-6605;3.3;968984
OS-6606;3.3;305970
OS-6607;3.3;269991
OS-6608;3.3;268539
OS-6609;3.31;361241
OS-6610;3.31;299870
OS-6611;3.31;288556
OS-6612;3.32;536306
OS-6613;3.32;536306
OS-6614;3.32;369990
OS-6615;3.32;484029
OS-6616;3.33;259990
OS-6617;3.33;177786
OS-6618;3.33;411620
OS-6619;3.33;299989
OS-6620;3.33;494990
OS-6621;3.33;312000
OS-6622;3.33;642159
OS-6623;3.34;763590
OS-6624;3.34;294990
OS-6625;3.34;277101
OS-6626;3.34;351831
OS-6627;3.34;300782
OS-6628;3.35;379990
OS-6629;3.35;254603
OS-6630;3.35;507366
OS-6631;3.36;365548
OS-6632;3.36;297739
OS-6633;3.36;434074
OS-6634;3.36;389989
OS-6635;3.37;399582
OS-6636;3.37;304585
OS-6637;3.37;385340
OS-6638;3.37;334605
OS-6639;3.38;269990
OS-6640;3.38;389117
OS-6641;3.38;269990
OS-6642;3.38;270596
OS-6643;3.38;242978
OS-6644;3.38;242990
OS-6645;3.38;229490
OS-6646;3.38;1532584
OS-6647;3.39;299989
OS-6648;3.39;512990
OS-6649;3.39;250186
OS-6650;3.39;424988
OS-6651;3.39;525409
OS-6652;3.39;465840
OS-6653;3.4;665001
OS-6654;3.4;568120
OS-6655;3.4;475273
OS-6656;3.4;402890
OS-6657;3.4;485000
OS-6658;3.4;579319
OS-6659;3.4;437320
OS-6660;3.4;665001
OS-6661;3.4;484378
OS-6662;3.4;312980
OS-6663;3.41;341989
OS-6664;3.41;484491
OS-6665;3.42;1905091
OS-6666;3.42;535990
OS-6667;3.42;259990
OS-6668;3.42;341991
OS-6669;3.42;259042
OS-6670;3.42;280251
OS-6671;3.43;292307
OS-6672;3.43;324990
OS-6673;3.43;377992
OS-6674;3.43;439466
OS-6675;3.44;562112
OS-6676;3.44;793138
OS-6677;3.44;318827
OS-6678;3.44;389990
OS-6679;3.44;344263
OS-6680;3.44;246056
OS-6681;3.44;610900
OS-6682;3.44;331822
OS-6683;3.45;550589
OS-6684;3.45;303991
OS-6685;3.45;437430
OS-6686;3.45;389989
OS-6687;3.46;449224
OS-6688;3.46;550676
OS-6689;3.46;438720
OS-6690;3.46;399585
OS-6691;3.47;817037
OS-6692;3.47;437406
OS-6693;3.48;289980
OS-6694;3.48;292491
OS-6695;3.48;349792
OS-6696;3.48;242990
OS-6697;3.48;289621
OS-6698;3.48;350992
OS-6699;3.48;318430
OS-6700;3.48;389990
OS-6701;3.48;403410
OS-6702;3.48;671577
OS-6703;3.48;569990
OS-6704;3.49;282100
OS-6705;3.49;269990
OS-6706;3.49;282090
OS-6707;3.49;269990
OS-6708;3.49;282090
OS-6709;3.49;269990
OS-6710;3.49;269990
OS-6711;3.49;269990
OS-6712;3.49;229941
OS-6713;3.49;269990
OS-6714;3.49;269990
OS-6715;3.49;242991
OS-6716;3.49;269990
OS-6717;3.49;269990
OS-6718;3.49;302440
OS-6719;3.49;269990
OS-6720;3.49;269990
OS-6721;3.49;269990
OS-6722;3.49;269990
OS-6723;3.49;269990
OS-6724;3.49;242991
OS-6725;3.49;253881
OS-6726;3.49;269990
OS-6727;3.49;449174
OS-6728;3.49;402696
OS-6729;3.5;378932
OS-6730;3.5;410288
OS-6731;3.5;378932
OS-6732;3.5;893861
OS-6733;3.5;525409
OS-6734;3.5;671585
OS-6735;3.5;525409
OS-6736;3.5;525409
OS-6737;3.5;848725
OS-6738;3.5;532448
OS-6739;3.5;445655
OS-6740;3.5;527796
OS-6741;3.5;525409
OS-6742;3.5;1177407
OS-6743;3.5;665618
OS-6744;3.5;672336
OS-6745;3.5;669312
OS-6746;3.5;531555
OS-6747;3.5;536306
OS-6748;3.5;448402
OS-6749;3.5;519220
OS-6750;3.5;374990
OS-6751;3.5;433109
OS-6752;3.5;852579
OS-6753;3.5;229075
OS-6754;3.5;472842
OS-6755;3.5;640000
OS-6756;3.5;420942
OS-6757;3.5;474621
OS-6758;3.5;569990
OS-6759;3.5;822236
OS-6760;3.5;753788
OS-6761;3.5;1564731
OS-6762;3.5;366882
OS-6763;3.5;501499
OS-6764;3.5;351143
OS-6765;3.5;362535
OS-6766;3.5;381521
OS-6767;3.5;480711
OS-6768;3.5;585037
OS-6769;3.5;585037
OS-6770;3.5;552797
OS-6771;3.5;213665
OS-6772;3.5;534940
OS-6773;3.5;1278822
OS-6774;3.5;286074
OS-6775;3.5;403722
OS-6776;3.5;272060
OS-6777;3.5;769358
OS-6778;3.5;479000
OS-6779;3.5;539114
OS-6780;3.5;473512
OS-6781;3.5;478435
OS-6782;3.5;478254
OS-6783;3.5;301999
OS-6784;3.5;479612
OS-6785;3.5;447046
OS-6786;3.5;232050
